,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Nov-1987,,1917.8,1920.7,,1139.3,1136.0,,778.5,784.7,,1540.9,1536.7,,1061.3,1056.9,,479.6,479.8,384.0,79.1,304.9,,58.3,58.4,,70.6,70.4,,46.5,46.9,,123.9,114.5,,67.9,64.0,,56.0,50.5,88.3,56.1,32.2,26.2,7.9,18.4,,6.1,5.6,,5.6,5.3,,6.7,6.0,5.4,5.0,6.3,6.4,9.1,5.7,,2041.7,2035.2,,1207.2,1200.0,,834.5,835.3,,62.1,61.9,,74.8,74.4,,49.8,49.9,1253.6,413.9,839.7,3288.8,1613.9,1674.9
Dec-1987,,1934.8,1961.6,,1154.4,1167.0,,780.4,794.6,,1557.1,1582.3,,1067.6,1080.4,,489.5,501.8,379.3,86.6,292.7,,58.8,59.6,,71.4,72.2,,46.5,47.4,,126.8,133.1,,68.4,73.4,,58.4,59.7,101.2,60.7,40.5,31.9,12.7,19.2,,6.1,6.4,,5.6,5.9,,7.0,7.0,6.0,5.3,7.5,7.8,12.8,6.2,,2061.6,2094.7,,1222.8,1240.4,,838.8,854.3,,62.6,63.6,,75.7,76.7,,50.0,50.9,1198.6,375.9,822.7,3293.3,1616.3,1677.0
Jan-1988,,1939.7,1905.5,,1162.8,1153.2,,776.9,752.3,,1558.0,1558.7,,1078.2,1075.8,,479.8,483.0,346.8,77.4,269.4,,58.8,57.8,,71.8,71.2,,46.3,44.8,,127.5,134.1,,67.6,73.0,,59.9,61.1,107.9,63.4,44.5,26.2,9.6,16.6,,6.2,6.6,,5.5,6.0,,7.2,7.5,6.5,5.6,8.4,7.0,11.1,5.8,,2067.2,2039.6,,1230.4,1226.2,,836.8,813.4,,62.7,61.8,,76.0,75.7,,49.8,48.4,1258.5,392.7,865.9,3298.2,1618.9,1679.3
Feb-1988,,1927.6,1919.4,,1156.6,1157.2,,771.0,762.3,,1558.9,1565.3,,1075.4,1081.3,,483.5,483.9,354.1,75.8,278.3,,58.4,58.1,,71.3,71.4,,45.8,45.3,,123.4,138.0,,65.7,71.5,,57.6,66.5,105.1,61.1,43.9,32.9,10.3,22.6,,6.0,6.7,,5.4,5.8,,7.0,8.0,6.3,5.4,8.3,8.5,12.0,7.5,,2050.9,2057.4,,1222.3,1228.6,,828.6,828.8,,62.1,62.3,,75.4,75.8,,49.3,49.3,1245.5,392.7,852.8,3302.9,1621.3,1681.5
Mar-1988,,1936.4,1951.4,,1159.0,1166.1,,777.4,785.3,,1562.3,1568.7,,1080.4,1084.3,,481.9,484.4,382.6,81.8,300.8,,58.5,59.0,,71.4,71.8,,46.2,46.6,,127.9,138.6,,65.6,66.7,,62.3,71.9,101.7,58.2,43.5,37.0,8.5,28.4,,6.2,6.6,,5.4,5.4,,7.4,8.4,6.1,5.1,8.2,8.8,9.5,8.6,,2064.3,2090.0,,1224.6,1232.9,,839.7,857.2,,62.4,63.2,,75.4,75.9,,49.9,50.9,1217.5,390.9,826.7,3307.6,1623.8,1683.8
Apr-1988,,1947.8,1953.5,,1166.8,1169.4,,780.9,784.1,,1568.4,1566.6,,1085.0,1083.5,,483.4,483.1,386.9,85.9,301.0,,58.8,59.0,,71.8,71.9,,46.3,46.5,,138.0,141.7,,71.0,70.3,,67.0,71.4,97.8,57.9,39.9,43.9,12.4,31.5,,6.6,6.8,,5.7,5.7,,7.9,8.3,5.9,5.1,7.6,10.2,12.6,9.5,,2085.8,2095.2,,1237.8,1239.7,,847.9,855.5,,63.0,63.3,,76.1,76.2,,50.3,50.7,1217.0,386.4,830.6,3312.2,1626.1,1686.0
May-1988,,1933.7,1935.4,,1157.9,1159.0,,775.8,776.4,,1554.1,1546.4,,1078.1,1077.2,,475.9,469.2,389.0,81.8,307.2,,58.3,58.4,,71.1,71.2,,46.0,46.0,,132.7,133.1,,67.7,67.1,,65.0,66.1,98.7,57.6,41.1,34.4,9.5,25.0,,6.4,6.4,,5.5,5.5,,7.7,7.8,6.0,5.1,8.1,8.1,10.4,7.5,,2066.4,2068.5,,1225.6,1226.0,,840.8,842.5,,62.3,62.4,,75.3,75.3,,49.8,49.9,1248.1,402.3,845.7,3316.6,1628.3,1688.2
Jun-1988,,1940.5,1943.7,,1158.5,1162.4,,782.0,781.3,,1560.4,1551.5,,1080.5,1082.1,,480.0,469.5,392.2,80.3,311.9,,58.4,58.5,,71.0,71.3,,46.3,46.2,,128.7,122.7,,64.4,60.8,,64.3,61.9,91.6,53.5,38.1,31.1,7.3,23.8,,6.2,5.9,,5.3,5.0,,7.6,7.3,5.6,4.7,7.5,7.4,8.3,7.1,,2069.1,2066.5,,1222.9,1223.2,,846.3,843.2,,62.3,62.2,,75.0,75.0,,50.1,49.9,1254.5,407.4,847.2,3321.0,1630.6,1690.4
Jul-1988,,1941.0,1943.7,,1162.2,1162.0,,778.7,781.7,,1559.6,1558.1,,1077.5,1077.6,,482.1,480.6,385.6,84.5,301.1,,58.4,58.4,,71.2,71.2,,46.0,46.2,,112.8,107.7,,59.0,56.7,,53.7,51.0,87.0,52.4,34.7,20.6,4.3,16.3,,5.5,5.2,,4.8,4.7,,6.5,6.1,5.3,4.6,6.7,5.1,4.9,5.1,,2053.7,2051.4,,1221.3,1218.7,,832.4,832.7,,61.8,61.7,,74.8,74.6,,49.2,49.2,1274.1,414.1,859.9,3325.5,1632.9,1692.6
Aug-1988,,1939.8,1930.4,,1148.8,1142.8,,791.1,787.6,,1564.8,1551.7,,1073.9,1067.1,,490.8,484.6,378.8,75.8,303.0,,58.3,58.0,,70.3,69.9,,46.7,46.5,,123.1,114.9,,59.5,57.1,,63.6,57.8,89.6,50.8,38.8,25.2,6.2,19.0,,6.0,5.6,,4.9,4.8,,7.4,6.8,5.5,4.5,7.4,6.2,7.6,5.9,,2062.9,2045.3,,1208.3,1199.9,,854.7,845.4,,62.0,61.4,,73.9,73.4,,50.4,49.9,1284.4,435.0,849.3,3329.7,1635.0,1694.8
Sep-1988,,1966.6,1981.8,,1163.2,1167.8,,803.4,814.0,,1582.2,1586.5,,1085.0,1085.2,,497.2,501.3,395.4,82.7,312.7,,59.0,59.4,,71.1,71.3,,47.3,48.0,,115.6,114.6,,56.4,56.1,,59.2,58.5,86.7,50.8,35.9,27.9,5.3,22.6,,5.6,5.5,,4.6,4.6,,6.9,6.7,5.2,4.5,6.7,6.6,6.0,6.7,,2082.2,2096.5,,1219.5,1224.0,,862.7,872.5,,62.5,62.9,,74.5,74.8,,50.8,51.4,1237.5,413.1,824.4,3334.0,1637.1,1696.9
Oct-1988,,1958.8,1961.8,,1161.4,1161.4,,797.4,800.4,,1584.6,1590.5,,1085.3,1088.1,,499.3,502.4,371.3,73.3,298.0,,58.7,58.8,,70.8,70.8,,46.9,47.1,,117.0,109.7,,62.1,58.4,,54.9,51.3,81.1,50.0,31.1,28.6,8.4,20.3,,5.6,5.3,,5.1,4.8,,6.4,6.0,4.9,4.4,5.8,7.2,10.2,6.4,,2075.7,2071.5,,1223.4,1219.8,,852.3,851.7,,62.2,62.0,,74.6,74.4,,50.2,50.1,1267.2,419.7,847.6,3338.8,1639.5,1699.3
Nov-1988,,1983.2,1985.8,,1167.8,1163.8,,815.4,822.0,,1590.2,1586.0,,1084.3,1079.9,,505.8,506.1,399.8,83.9,315.9,,59.3,59.4,,71.1,70.9,,47.9,48.3,,104.5,96.9,,53.3,50.5,,51.2,46.4,73.0,44.2,28.8,23.9,6.3,17.6,,5.0,4.7,,4.4,4.2,,5.9,5.3,4.4,3.9,5.4,5.6,7.0,5.3,,2087.7,2082.7,,1221.1,1214.3,,866.6,868.4,,62.4,62.3,,74.4,74.0,,50.9,51.0,1260.8,427.6,833.2,3343.5,1641.9,1701.6
Dec-1988,,2001.1,2028.8,,1172.5,1185.5,,828.7,843.2,,1595.0,1622.3,,1089.6,1103.7,,505.4,518.6,406.5,81.9,324.6,,59.8,60.6,,71.3,72.1,,48.6,49.5,,115.8,121.1,,59.9,63.7,,55.9,57.4,86.1,51.2,34.9,35.0,12.5,22.4,,5.5,5.6,,4.9,5.1,,6.3,6.4,5.0,4.4,6.3,7.9,13.3,6.5,,2117.0,2149.9,,1232.4,1249.3,,884.5,900.6,,63.2,64.2,,74.9,76.0,,51.9,52.9,1198.4,395.1,803.4,3348.3,1644.3,1704.0
Jan-1989,,1989.5,1953.7,,1167.9,1157.1,,821.6,796.6,,1588.6,1586.6,,1083.9,1079.6,,504.8,506.9,367.2,77.4,289.7,,59.3,58.2,,71.0,70.3,,48.1,46.6,,116.6,122.5,,59.6,64.2,,57.0,58.3,90.4,53.6,36.8,32.1,10.6,21.5,,5.5,5.9,,4.9,5.3,,6.5,6.8,5.4,4.7,6.8,8.0,12.0,6.9,,2106.0,2076.2,,1227.4,1221.3,,878.6,855.0,,62.8,61.9,,74.6,74.2,,51.4,50.0,1279.3,424.5,854.8,3355.6,1645.8,1709.8
Feb-1989,,2013.5,2004.4,,1183.9,1184.1,,829.6,820.3,,1605.4,1610.9,,1100.0,1105.7,,505.5,505.3,393.5,78.4,315.0,,59.9,59.7,,71.8,71.9,,48.5,47.9,,121.5,135.8,,62.2,67.6,,59.2,68.3,101.4,56.4,45.0,34.4,11.1,23.2,,5.7,6.3,,5.0,5.4,,6.7,7.7,5.9,4.9,8.2,8.0,12.4,6.9,,2135.0,2140.2,,1246.2,1251.7,,888.8,888.6,,63.5,63.7,,75.6,76.0,,51.9,51.9,1219.4,396.1,823.3,3359.6,1647.8,1711.8
Mar-1989,,2025.3,2026.3,,1188.6,1189.7,,836.7,836.6,,1618.7,1615.4,,1105.0,1102.6,,513.7,512.7,411.0,87.1,323.8,,60.2,60.2,,72.0,72.1,,48.8,48.8,,111.1,117.2,,58.3,59.4,,52.8,57.9,84.8,49.4,35.4,32.4,10.0,22.4,,5.2,5.5,,4.7,4.8,,5.9,6.5,5.0,4.3,6.5,7.3,10.3,6.5,,2136.4,2143.6,,1246.9,1249.1,,889.6,894.5,,63.5,63.7,,75.6,75.7,,51.9,52.2,1220.2,400.8,819.4,3363.7,1649.8,1713.9
Apr-1989,,2032.9,2039.2,,1199.1,1202.1,,833.9,837.1,,1633.3,1631.0,,1117.4,1116.6,,515.9,514.4,408.2,85.5,322.7,,60.4,60.6,,72.6,72.8,,48.6,48.8,,109.4,111.9,,55.6,55.0,,53.8,57.0,76.5,43.6,32.9,35.4,11.3,24.1,,5.1,5.2,,4.4,4.4,,6.1,6.4,4.5,3.8,6.0,8.0,11.7,7.0,,2142.3,2151.1,,1254.6,1257.1,,887.7,894.0,,63.6,63.9,,76.0,76.1,,51.7,52.1,1216.7,394.7,822.0,3367.8,1651.8,1716.0
May-1989,,2053.3,2054.6,,1205.7,1206.4,,847.6,848.2,,1639.3,1630.0,,1120.3,1118.7,,519.0,511.3,424.6,87.7,336.9,,60.9,60.9,,72.9,72.9,,49.3,49.4,,108.0,108.4,,51.3,50.9,,56.7,57.5,77.0,43.7,33.3,31.4,7.2,24.2,,5.0,5.0,,4.1,4.0,,6.3,6.4,4.5,3.8,6.1,6.9,7.6,6.7,,2161.3,2163.0,,1257.0,1257.2,,904.3,905.8,,64.1,64.1,,76.0,76.0,,52.6,52.7,1208.8,396.4,812.4,3371.8,1653.7,1718.1
Jun-1989,,2050.9,2050.5,,1203.9,1204.8,,847.0,845.7,,1632.3,1620.4,,1113.0,1112.8,,519.3,507.6,430.1,92.0,338.1,,60.8,60.7,,72.7,72.8,,49.2,49.2,,98.2,95.7,,44.5,43.1,,53.7,52.6,69.5,35.7,33.8,26.2,7.4,18.9,,4.6,4.5,,3.6,3.5,,6.0,5.9,4.1,3.1,6.2,5.7,7.4,5.3,,2149.1,2146.2,,1248.4,1247.9,,900.7,898.3,,63.7,63.6,,75.4,75.4,,52.4,52.2,1229.7,407.8,821.9,3375.9,1655.7,1720.3
Jul-1989,,2051.7,2054.3,,1205.0,1204.7,,846.7,849.6,,1630.4,1629.2,,1111.5,1111.6,,518.9,517.6,425.1,93.1,332.0,,60.7,60.8,,72.7,72.7,,49.2,49.3,,100.6,96.4,,50.4,48.5,,50.2,47.9,68.1,38.2,30.0,28.2,10.3,17.9,,4.7,4.5,,4.0,3.9,,5.6,5.3,4.0,3.3,5.5,6.2,10.0,5.1,,2152.3,2150.6,,1255.4,1253.2,,896.9,897.4,,63.7,63.6,,75.7,75.6,,52.1,52.1,1229.6,404.6,825.1,3380.3,1657.7,1722.5
Aug-1989,,2060.0,2049.1,,1202.7,1195.4,,857.3,853.6,,1637.9,1623.8,,1113.7,1105.7,,524.2,518.1,425.3,89.8,335.5,,60.9,60.5,,72.5,72.0,,49.7,49.5,,100.0,93.8,,51.4,49.6,,48.6,44.2,67.3,42.4,24.9,26.5,7.2,19.3,,4.6,4.4,,4.1,4.0,,5.4,4.9,4.0,3.7,4.6,5.9,7.4,5.4,,2160.0,2142.8,,1254.1,1245.0,,906.0,897.8,,63.8,63.3,,75.6,75.0,,52.5,52.1,1241.7,414.8,826.9,3384.5,1659.8,1724.7
Sep-1989,,2068.4,2085.3,,1202.8,1207.6,,865.6,877.7,,1637.6,1642.7,,1106.9,1106.9,,530.7,535.8,442.6,100.7,341.9,,61.0,61.5,,72.4,72.7,,50.1,50.8,,104.7,103.8,,55.3,54.9,,49.5,48.9,73.0,44.7,28.3,30.9,10.2,20.6,,4.8,4.7,,4.4,4.3,,5.4,5.3,4.3,3.9,5.0,6.5,9.2,5.7,,2173.2,2189.1,,1258.1,1262.5,,915.1,926.6,,64.1,64.6,,75.7,76.0,,53.0,53.7,1199.8,399.4,800.4,3388.9,1661.9,1727.0
Oct-1989,,2067.9,2071.8,,1209.1,1209.6,,858.8,862.3,,1644.9,1651.7,,1118.2,1121.1,,526.7,530.6,420.1,88.4,331.7,,60.9,61.1,,72.7,72.7,,49.7,49.9,,99.9,93.7,,48.0,45.3,,51.9,48.4,66.0,39.4,26.6,27.7,5.9,21.8,,4.6,4.3,,3.8,3.6,,5.7,5.3,3.8,3.4,4.8,6.2,6.3,6.2,,2167.9,2165.5,,1257.1,1254.8,,910.7,910.7,,63.9,63.8,,75.5,75.4,,52.7,52.7,1228.0,409.3,818.7,3393.5,1664.2,1729.3
Nov-1989,,2076.8,2078.3,,1215.8,1210.6,,861.0,867.7,,1653.0,1649.3,,1122.3,1117.8,,530.7,531.6,429.0,92.8,336.2,,61.1,61.2,,73.0,72.6,,49.7,50.1,,104.2,97.0,,48.1,46.0,,56.0,51.1,69.0,39.3,29.7,28.0,6.7,21.3,,4.8,4.5,,3.8,3.7,,6.1,5.6,4.0,3.4,5.3,6.1,6.7,6.0,,2181.0,2175.3,,1263.9,1256.5,,917.1,918.8,,64.2,64.0,,75.8,75.4,,53.0,53.1,1222.7,409.8,812.8,3398.0,1666.4,1731.6
Dec-1989,,2069.4,2098.1,,1203.3,1217.3,,866.2,880.8,,1638.5,1667.7,,1103.3,1118.4,,535.2,549.3,430.3,98.9,331.5,,60.8,61.7,,72.1,73.0,,50.0,50.8,,98.3,102.6,,52.5,55.3,,45.8,47.3,78.7,48.9,29.8,23.9,6.4,17.5,,4.5,4.7,,4.2,4.3,,5.0,5.1,4.5,4.2,5.1,5.3,6.1,5.0,,2167.7,2200.6,,1255.7,1272.6,,912.0,928.1,,63.7,64.7,,75.3,76.3,,52.6,53.5,1201.9,396.1,805.9,3402.6,1668.6,1733.9
Jan-1990,,2093.7,2055.9,,1212.2,1200.6,,881.4,855.3,,1658.1,1653.6,,1114.1,1108.5,,544.1,545.1,402.3,92.1,310.2,,61.5,60.3,,72.6,71.9,,50.8,49.3,,101.0,106.2,,50.4,54.2,,50.6,52.0,79.6,44.0,35.6,26.6,10.2,16.4,,4.6,4.9,,4.0,4.3,,5.4,5.7,4.6,3.8,6.1,6.2,10.0,5.0,,2194.7,2162.1,,1262.7,1254.8,,932.0,907.3,,64.4,63.5,,75.6,75.1,,53.7,52.3,1244.7,415.9,828.8,3406.8,1670.7,1736.1
Feb-1990,,2092.1,2082.7,,1213.6,1213.8,,878.5,868.9,,1653.0,1657.6,,1110.4,1116.0,,542.6,541.6,425.1,97.7,327.3,,61.3,61.1,,72.5,72.6,,50.5,50.0,,112.0,125.1,,55.1,59.7,,56.9,65.4,94.9,53.3,41.7,30.2,6.4,23.7,,5.1,5.7,,4.3,4.7,,6.1,7.0,5.4,4.6,7.1,6.6,6.2,6.8,,2204.0,2207.8,,1268.7,1273.5,,935.4,934.3,,64.6,64.7,,75.8,76.1,,53.8,53.7,1203.3,399.3,804.0,3411.1,1672.8,1738.3
Mar-1990,,2088.8,2090.6,,1216.5,1217.8,,872.4,872.9,,1654.2,1650.3,,1111.2,1108.9,,543.0,541.5,440.3,108.9,331.4,,61.2,61.2,,72.6,72.7,,50.1,50.2,,105.9,112.0,,52.1,53.1,,53.8,58.9,79.9,45.8,34.1,32.0,7.3,24.8,,4.8,5.1,,4.1,4.2,,5.8,6.3,4.6,4.0,5.9,6.8,6.3,7.0,,2194.7,2202.6,,1268.6,1270.8,,926.1,931.8,,64.3,64.5,,75.7,75.9,,53.2,53.5,1212.8,404.1,808.7,3415.4,1674.9,1740.5
Apr-1990,,2108.6,2114.9,,1224.9,1228.4,,883.7,886.5,,1660.2,1656.8,,1114.5,1114.5,,545.7,542.3,458.1,113.9,344.2,,61.7,61.8,,73.0,73.3,,50.7,50.9,,107.8,109.5,,58.2,57.4,,49.6,52.1,81.6,47.7,33.9,27.9,9.7,18.2,,4.9,4.9,,4.5,4.5,,5.3,5.6,4.7,4.1,5.9,5.7,7.8,5.0,,2216.4,2224.4,,1283.1,1285.8,,933.4,938.6,,64.8,65.1,,76.5,76.7,,53.6,53.9,1195.1,391.0,804.0,3419.4,1676.8,1742.6
May-1990,,2104.0,2104.8,,1218.0,1218.1,,886.0,886.7,,1657.7,1647.6,,1110.9,1108.8,,546.8,538.9,457.2,109.3,347.9,,61.5,61.5,,72.6,72.6,,50.8,50.8,,117.6,118.0,,63.5,63.2,,54.1,54.8,84.7,52.9,31.8,33.3,10.3,23.0,,5.3,5.3,,5.0,4.9,,5.8,5.8,4.9,4.6,5.6,6.8,8.6,6.2,,2221.6,2222.8,,1281.5,1281.3,,940.1,941.5,,64.9,64.9,,76.3,76.3,,53.9,54.0,1200.7,397.5,803.2,3423.5,1678.8,1744.7
Jun-1990,,2101.9,2101.6,,1218.5,1219.7,,883.4,881.9,,1661.0,1649.6,,1116.3,1116.3,,544.6,533.3,452.1,103.4,348.6,,61.3,61.3,,72.5,72.6,,50.6,50.5,,117.8,114.6,,59.2,57.3,,58.6,57.3,91.6,50.9,40.7,23.0,6.4,16.5,,5.3,5.2,,4.6,4.5,,6.2,6.1,5.3,4.4,7.1,4.8,5.9,4.5,,2219.7,2216.2,,1277.7,1277.1,,942.0,939.1,,64.8,64.7,,76.0,76.0,,53.9,53.8,1211.3,403.7,807.7,3427.5,1680.7,1746.8
Jul-1990,,2095.6,2102.4,,1210.4,1214.2,,885.3,888.2,,1655.7,1657.2,,1107.3,1109.6,,548.4,547.5,445.3,104.6,340.7,,61.1,61.3,,71.9,72.2,,50.6,50.8,,142.7,133.7,,77.5,72.7,,65.2,61.0,103.7,63.3,40.4,30.0,9.4,20.6,,6.4,6.0,,6.0,5.6,,6.9,6.4,5.9,5.4,6.9,6.3,8.3,5.7,,2238.4,2236.2,,1287.9,1286.9,,950.5,949.2,,65.2,65.2,,76.6,76.5,,54.4,54.3,1194.7,395.3,799.4,3430.9,1682.3,1748.6
Aug-1990,,2083.2,2071.3,,1204.0,1196.0,,879.2,875.2,,1652.2,1637.5,,1107.2,1098.4,,544.9,539.2,433.7,97.6,336.1,,60.7,60.3,,71.5,71.0,,50.2,50.0,,147.1,138.3,,75.9,73.4,,71.2,64.9,110.9,65.7,45.1,27.5,7.7,19.8,,6.6,6.3,,5.9,5.8,,7.5,6.9,6.3,5.6,7.7,6.0,7.3,5.6,,2230.3,2209.6,,1279.9,1269.5,,950.3,940.1,,64.9,64.3,,76.0,75.4,,54.3,53.7,1224.6,414.4,810.3,3434.2,1683.8,1750.4
Sep-1990,,2059.1,2076.4,,1188.2,1192.9,,870.9,883.5,,1630.5,1636.7,,1095.4,1095.3,,535.1,541.4,439.6,97.5,342.1,,59.9,60.4,,70.5,70.8,,49.7,50.4,,153.3,152.0,,88.0,87.3,,65.3,64.6,114.9,73.9,41.0,37.1,13.5,23.6,,6.9,6.8,,6.9,6.8,,7.0,6.8,6.6,6.3,7.0,7.8,12.1,6.5,,2212.4,2228.3,,1276.2,1280.2,,936.1,948.1,,64.4,64.8,,75.7,76.0,,53.4,54.1,1209.3,405.2,804.1,3437.6,1685.4,1752.2
Oct-1990,,2059.6,2063.5,,1188.2,1188.6,,871.4,874.9,,1624.7,1631.4,,1089.9,1092.6,,534.8,538.8,432.1,96.0,336.1,,59.9,60.0,,70.4,70.5,,49.7,49.9,,164.8,154.9,,92.0,87.2,,72.8,67.7,120.0,75.1,45.0,34.8,12.1,22.7,,7.4,7.0,,7.2,6.8,,7.7,7.2,6.9,6.4,7.7,7.5,11.2,6.3,,2224.4,2218.4,,1280.3,1275.8,,944.1,942.6,,64.6,64.5,,75.9,75.6,,53.8,53.7,1222.8,411.3,811.5,3441.2,1687.1,1754.1
Nov-1990,,2050.9,2051.9,,1180.8,1175.4,,870.1,876.5,,1609.5,1606.1,,1082.7,1078.5,,526.8,527.5,445.8,96.9,348.9,,59.5,59.6,,69.9,69.6,,49.6,49.9,,178.7,168.0,,101.8,97.7,,76.9,70.4,135.9,87.7,48.2,32.2,10.0,22.2,,8.0,7.6,,7.9,7.7,,8.1,7.4,7.8,7.5,8.4,6.7,9.4,6.0,,2229.5,2219.9,,1282.5,1273.1,,947.0,946.8,,64.7,64.4,,75.9,75.4,,53.9,53.9,1224.8,415.7,809.2,3444.8,1688.8,1756.0
Dec-1990,,2042.0,2070.4,,1173.0,1187.2,,869.0,883.2,,1600.4,1629.2,,1077.6,1093.1,,522.8,536.1,441.2,94.1,347.0,,59.2,60.0,,69.4,70.2,,49.4,50.2,,174.6,181.4,,101.2,105.5,,73.3,76.0,143.5,89.8,53.7,37.9,15.7,22.2,,7.9,8.1,,7.9,8.2,,7.8,7.9,8.1,7.6,9.1,7.9,14.3,6.0,,2216.6,2251.8,,1274.2,1292.7,,942.4,959.1,,64.3,65.3,,75.4,76.5,,53.6,54.6,1196.6,397.8,798.7,3448.4,1690.5,1757.9
Jan-1991,,2028.9,1998.4,,1163.5,1158.1,,865.5,840.4,,1585.9,1591.2,,1062.7,1062.5,,523.3,528.7,407.2,95.6,311.6,,58.8,57.9,,68.8,68.5,,49.2,47.8,,187.7,198.0,,106.6,114.1,,81.1,83.8,160.0,102.5,57.4,38.0,11.6,26.4,,8.5,9.0,,8.4,9.0,,8.6,9.1,9.1,8.8,9.8,8.5,10.8,7.8,,2216.6,2196.4,,1270.0,1272.2,,946.6,924.2,,64.2,63.6,,75.1,75.2,,53.8,52.5,1254.8,419.6,835.2,3451.2,1691.8,1759.4
Feb-1991,,2026.4,2017.2,,1163.7,1163.7,,862.7,853.4,,1567.7,1571.7,,1059.0,1064.3,,508.7,507.5,445.4,99.5,345.9,,58.7,58.4,,68.7,68.7,,49.0,48.5,,188.2,209.6,,105.8,114.9,,82.4,94.7,163.0,97.6,65.4,46.6,17.4,29.2,,8.5,9.4,,8.3,9.0,,8.7,10.0,9.4,8.4,11.4,9.5,14.9,7.8,,2214.6,2226.8,,1269.5,1278.7,,945.1,948.1,,64.1,64.5,,75.0,75.5,,53.7,53.8,1227.3,414.4,812.9,3454.1,1693.1,1761.0
Mar-1991,,1988.4,1990.8,,1137.5,1138.7,,851.0,852.1,,1552.5,1548.6,,1045.5,1043.2,,507.0,505.4,442.2,95.5,346.7,,57.5,57.6,,67.1,67.2,,48.3,48.3,,203.9,213.6,,117.7,119.7,,86.2,93.9,164.1,101.6,62.4,49.6,18.0,31.5,,9.3,9.7,,9.4,9.5,,9.2,9.9,9.6,8.9,11.0,10.1,15.9,8.3,,2192.3,2204.4,,1255.1,1258.4,,937.2,946.1,,63.4,63.8,,74.1,74.3,,53.2,53.7,1252.5,436.0,816.5,3456.9,1694.4,1762.6
Apr-1991,,1973.5,1978.9,,1126.7,1130.2,,846.8,848.7,,1531.8,1527.5,,1027.1,1027.7,,504.6,499.8,451.4,102.5,348.9,,57.0,57.2,,66.5,66.7,,48.0,48.1,,233.7,236.0,,134.5,132.7,,99.2,103.4,185.0,111.9,73.1,51.1,20.8,30.2,,10.6,10.7,,10.7,10.5,,10.5,10.9,10.8,9.8,12.8,10.2,16.9,8.0,,2207.2,2215.0,,1261.2,1262.9,,946.0,952.1,,63.8,64.0,,74.4,74.5,,53.6,54.0,1244.7,432.7,812.0,3459.6,1695.6,1764.1
